Clinic,Name,Url,Cost,Time
Balance Acupuncture,Tomomi Shibuya,https://balanceam.janeapp.com/#/staff_member/22/treatment/7,100,75
Back 2 Health,Cary Rendek,https://back2health.janeapp.com/#/staff_member/27/treatment/147,100,60
MyRest,Jason Brien,https://myrest.janeapp.com/#/staff_member/3/treatment/2,55,15
MyRest,Lynn Plautz,https://myrest.janeapp.com/#/staff_member/1/treatment/4,55,15
Local Health,Jenny Abel,https://localhealth.janeapp.com/locations/local-health-integrative-clinic/book#/staff_member/9/treatment/26,90,75
Local Health,Jill Truscott,https://localhealth.janeapp.com/locations/local-health-integrative-clinic/book#/staff_member/12/treatment/26,90,75
MedSpa,Galya Galina Ayvazov,https://medspa.janeapp.com/#/staff_member/6/treatment/23,70,45
Yong Sheng Clinic,Jing Zhang,https://bbm.janeapp.com/#/staff_member/2/treatment/1,70,40
Royal Treatments,Wai Wah Chan,https://royaltreatmenttherapeutics.janeapp.com/#/staff_member/54/treatment/177,120,60
Royal Treatments,Masako Doi,https://royaltreatmenttherapeutics.janeapp.com/#/staff_member/48/treatment/167,115,60
Royal Treatments,Byungsoo Kim,https://royaltreatmenttherapeutics.janeapp.com/#/staff_member/53/treatment/189,110,60
Andre Shih TCM,Andre Shih,https://andreshihtcm.janeapp.com/locations/burnaby-clinic/book#/staff_member/1/treatment/8,100,60
Andre Shih TCM,Andre Shih,https://andreshihtcm.janeapp.com/locations/vancouver-clinic/book#/staff_member/1/treatment/2,100,60
Limina Wellness,Paul Jeung,https://limina.janeapp.com/#/staff_member/5/treatment/7,100,60
Chris Jeffrey Acupuncture,Chris Jeffrey,https://chris-jeffrey-acupuncture.janeapp.com/#/staff_member/1/treatment/3,80,75
Holy Family,Sanghyun Jason Tjen,https://holyfamilyacupuncture.janeapp.com/#/staff_member/1/treatment/1,88,60
North Shore Wellness,Brad Matthews,https://northshorewellnesscentre.janeapp.com/locations/north-shore-wellness-centre/book#/staff_member/151/treatment/392,90,30
North  Shore Wellness,Andrew Lin,https://northshorewellnesscentre.janeapp.com/locations/north-shore-wellness-centre/book#/staff_member/4/treatment/12,90,30
Pure5 Wellness,Jahyun Jennifer Kim,https://pure5wellness.janeapp.com/#/staff_member/48/treatment/5,80,60
Coquitlam Integrated Health,Jie Yu,https://coquitlamintegratedhealth.janeapp.com/#/staff_member/1/treatment/1,65,30
Advanced Healing Arts,Colin Harris,https://advancedhealingarts.janeapp.com/locations/advanced-healing-arts/book#/staff_member/25/treatment/80,110,75
Advanced Healing Arts,Andrew Taylor,https://advancedhealingarts.janeapp.com/locations/advanced-healing-arts/book#/staff_member/3/treatment/13,,
Advanced Healing Arts,Ian Dunsmuir,https://advancedhealingarts.janeapp.com/locations/advanced-healing-arts/book#/staff_member/4/treatment/8,65,30
Advanced Healing Arts,Jessica Moon,https://advancedhealingarts.janeapp.com/#/staff_member/31/treatment/156,125,70
Uniqcon Health,Duyong Lee,https://uniqconhealth.janeapp.com/#/staff_member/2/treatment/2,70,40
Yoon Clinic,Sung Soo Yoon,https://yoonclinic.janeapp.com/#/staff_member/1/treatment/20,110,60
Yoon Clinic,Hyun Hee Yook,https://yoonclinic.janeapp.com/#/staff_member/2/treatment/31,100,60
